POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY	
1	Chase Briscoe	19	Toyota	367	2	309	60	20	0	
2	Tyler Reddick	45	Toyota	367	4	3	53	18	0	
3	Erik Jones	43	Toyota	367	19	0	42	8	0	
4	John Hunter Nemechek	42	Toyota	367	30	15	38	5	0	
5	AJ Allmendinger	16	Chevrolet	367	22	0	38	6	0	
6	Bubba Wallace	23	Toyota	367	8	10	41	10	0	
7	Denny Hamlin	11	Toyota	367	1	12	38	8	0	
8	Kyle Busch	8	Chevrolet	367	23	0	29	0	0	
9	Carson Hocevar	77	Chevrolet	367	26	0	28	0	0	
10	Chris Buescher	17	Ford	367	15	0	27	0	0	
11	Ross Chastain	1	Chevrolet	367	6	3	38	12	0	
12	Austin Cindric	2	Ford	367	10	0	28	3	0	
13	Zane Smith	38	Ford	367	24	0	24	0	0	
14	Noah Gragson	4	Ford	367	34	0	23	0	0	
15	Brad Keselowski	6	Ford	367	32	0	22	0	0	
16	Ryan Preece	60	Ford	367	27	0	23	2	0	
17	Chase Elliott	9	Chevrolet	367	21	8	20	0	0	
18	Ryan Blaney	12	Ford	367	12	0	20	1	0	
19	Kyle Larson	5	Chevrolet	367	5	2	30	12	0	
20	Joey Logano	22	Ford	367	14	0	17	0	0	
21	William Byron	24	Chevrolet	367	11	0	17	1	0	
22	Ty Gibbs	54	Toyota	367	16	0	15	0	0	
23	Austin Dillon	3	Chevrolet	367	9	0	14	0	0	
24	Cole Custer	41	Ford	367	18	0	13	0	0	
25	Daniel Suarez	99	Chevrolet	366	17	0	12	0	0	
26	Todd Gilliland	34	Ford	366	28	0	11	0	0	
27	Justin Haley	7	Chevrolet	366	13	0	10	0	0	
28	Riley Herbst	35	Toyota	366	33	0	9	0	0	
29	Christopher Bell	20	Toyota	365	7	2	12	4	0	
30	Ricky Stenhouse Jr.	47	Chevrolet	365	35	0	7	0	0	
31	Alex Bowman	48	Chevrolet	365	29	0	6	0	0	
32	Shane van Gisbergen	88	Chevrolet	365	20	3	5	0	0	
33	Michael McDowell	71	Chevrolet	365	25	0	4	0	0	
34	Ty Dillon	10	Chevrolet	365	31	0	3	0	0	
35	Timmy Hill	66	Ford	354	38	0	0	0	0	
36	Derek Kraus	44	Chevrolet	282	37	0	1	0	0	
37	Cody Ware	51	Ford	249	36	0	1	0	0	
38	Josh Berry	21	Ford	239	3	0	2	1	0	
